the max acc is 9930
no.	acc	ninas	ntk	tot
9930	73.493	1.400	0.425	1.825
===========================================================================
the problems are here (45):
no.	acc	ninas	ntk	tot
9348	30.120	-3.564	-2.212	-69.685	-73.249
10322	29.347	-3.793	-2.211	-68.789	-72.583
8068	33.887	-3.625	-2.207	-68.779	-72.403
15	31.840	-3.671	-2.208	-67.489	-71.160
13984	29.960	-3.883	-2.212	-66.826	-70.709
5690	31.813	-3.560	-2.208	-66.807	-70.367
5759	9.953	-3.608	-2.180	-66.057	-69.665
6893	33.787	-3.455	-2.207	-65.747	-69.202
12511	30.220	-3.752	-2.210	-65.365	-69.117
345	33.853	-3.570	-2.206	-64.013	-67.584
12750	28.740	-3.809	-2.211	-63.344	-67.153
11051	10.190	-3.587	-2.176	-63.063	-66.650
1677	29.187	-3.764	-2.213	-62.823	-66.587
1881	32.073	-3.632	-2.210	-61.485	-65.117
1070	32.260	-3.613	-2.209	-61.246	-64.859
6557	12.433	-3.315	-2.168	-61.497	-64.812
1746	32.000	-3.707	-2.209	-61.055	-64.761
1542	37.293	-3.480	-2.201	-61.050	-64.530
7062	28.020	-3.725	-2.216	-60.773	-64.498
957	37.360	-3.581	-2.202	-60.274	-63.855
2690	33.727	-3.542	-2.207	-60.113	-63.655
3052	31.110	-3.802	-2.211	-57.023	-60.825
11029	37.287	-3.515	-2.201	-57.227	-60.742
567	37.733	-3.471	-2.201	-57.242	-60.713
13655	30.927	-3.676	-2.211	-55.621	-59.297
239	10.347	-3.570	-2.176	-55.008	-58.578
1501	33.773	-3.634	-2.206	-54.805	-58.439
7311	30.260	-3.689	-2.211	-54.602	-58.292
5953	33.773	-3.522	-2.209	-53.955	-57.477
4158	34.220	-3.668	-2.207	-53.354	-57.021
5123	33.587	-3.574	-2.207	-52.579	-56.153
7762	10.687	-3.523	-2.173	-52.026	-55.549
13269	33.913	-3.558	-2.208	-51.741	-55.300
2913	27.207	-3.891	-2.214	-51.148	-55.040
5412	31.540	-3.696	-2.209	-50.767	-54.463
7730	28.760	-3.599	-2.213	-50.403	-54.002
12749	33.420	-3.643	-2.207	-50.075	-53.718
3287	29.590	-3.777	-2.211	-49.507	-53.284
498	10.720	-3.416	-2.174	-49.382	-52.798
7350	34.220	-3.615	-2.206	-48.921	-52.536
6226	10.190	-3.488	-2.178	-48.133	-51.621
8481	28.580	-3.726	-2.215	-47.709	-51.435
4823	36.150	-3.561	-2.206	-47.790	-51.351
3437	37.760	-3.418	-2.202	-47.106	-50.524
8655	28.633	-3.747	-2.212	-46.767	-50.514
12727	37.567	-3.458	-2.202	-47.052	-50.511
6794	32.670	-3.640	-2.208	-46.662	-50.302
10464	31.867	-3.598	-2.211	-46.685	-50.283
2408	37.507	-3.558	-2.201	-46.714	-50.273
13210	37.093	-3.323	-2.200	-46.699	-50.022
10470	29.360	-3.756	-2.211	-45.888	-49.644
4086	37.330	-3.459	-2.201	-45.777	-49.236
12291	36.430	-3.468	-2.204	-45.379	-48.847
2812	10.300	-3.557	-2.175	-45.139	-48.696
12046	37.667	-3.408	-2.200	-45.159	-48.566
3839	50.420	-1.367	-1.061	-47.130	-48.496
9725	28.080	-3.779	-2.215	-44.104	-47.883
1381	27.933	-3.818	-2.213	-43.950	-47.768
14536	30.160	-3.689	-2.213	-43.767	-47.455
2509	29.747	-3.708	-2.208	-43.624	-47.332
3208	36.107	-3.470	-2.204	-43.358	-46.829
5432	37.520	-3.472	-2.203	-43.146	-46.618
3999	28.160	-3.841	-2.214	-41.682	-45.523
6212	12.507	-3.391	-2.169	-42.131	-45.522
723	34.267	-3.483	-2.206	-41.819	-45.302
14571	12.433	-3.433	-2.168	-41.121	-44.554
13199	30.100	-3.718	-2.212	-40.770	-44.487
3223	33.253	-3.476	-2.207	-40.006	-43.481
14197	41.513	-3.703	-2.255	-39.503	-43.206
6882	45.170	-1.520	-1.081	-41.658	-43.178
7606	37.673	-3.486	-2.202	-39.642	-43.127
11166	29.970	-3.655	-2.211	-39.361	-43.017
6718	10.360	-3.513	-2.175	-38.145	-41.658
10867	30.927	-3.729	-2.211	-37.660	-41.388
9054	31.100	-3.688	-2.211	-37.519	-41.206
7427	37.227	-3.393	-2.203	-37.812	-41.205
11892	9.950	-3.711	-2.183	-36.885	-40.596
15608	33.333	-3.442	-2.207	-36.899	-40.341
13073	35.080	-1.312	-0.713	-38.554	-39.866
8614	31.300	-3.688	-2.209	-35.399	-39.087
12079	31.267	-3.584	-2.209	-35.418	-39.002
14187	33.620	-3.498	-2.207	-35.302	-38.800
10625	33.940	-3.581	-2.208	-34.936	-38.517
6480	37.453	-3.421	-2.201	-34.113	-37.534
432	10.700	-3.571	-2.173	-33.343	-36.914
13060	28.060	-3.728	-2.212	-32.377	-36.105
3455	49.190	-3.598	-2.251	-31.001	-34.599
3545	28.293	-3.731	-2.212	-28.295	-32.026
7224	50.647	-1.323	-1.012	-30.319	-31.642
6232	33.240	-3.482	-2.209	-27.677	-31.159
12378	38.940	-1.228	-0.697	-29.446	-30.674
5464	10.420	-3.502	-2.177	-26.114	-29.616
10622	44.947	-3.730	-2.251	-24.699	-28.428
7761	50.240	-0.363	0.221	-27.715	-28.079
569	44.873	-3.621	-2.252	-24.437	-28.058
6001	44.873	-3.510	-2.252	-24.288	-27.797
1754	50.233	-1.188	-1.035	-26.569	-27.757
11999	45.050	-3.563	-2.252	-23.499	-27.062
14320	50.900	-3.506	-2.248	-23.152	-26.658
11280	50.867	-3.449	-2.247	-22.718	-26.167
13696	44.687	-3.615	-2.253	-22.127	-25.742
1717	40.833	-3.651	-2.255	-21.951	-25.602
1971	44.440	-3.537	-2.255	-22.010	-25.547
6079	31.100	-3.611	-2.209	-21.874	-25.485
7515	50.453	-3.444	-2.248	-21.768	-25.213
2299	38.567	-3.163	-2.182	-21.688	-24.851
4569	49.470	-3.576	-2.251	-20.876	-24.452
6123	35.350	-1.401	-0.731	-22.058	-23.459
4242	48.380	-3.705	-2.253	-19.330	-23.035
3897	51.160	-3.445	-2.248	-19.371	-22.816
3810	45.020	-3.673	-2.253	-18.770	-22.444
3396	42.830	-1.174	-0.661	-21.095	-22.269
11444	50.530	-3.554	-2.249	-17.726	-21.279
1835	15.033	-3.154	-2.152	-17.541	-20.696
4828	44.400	-3.611	-2.252	-17.022	-20.633
5800	50.547	-3.559	-2.246	-16.877	-20.437
1039	50.500	-3.492	-2.249	-16.663	-20.155
5515	50.200	-3.599	-2.248	-16.448	-20.048
12563	49.400	-1.664	-1.064	-18.330	-19.994
8445	40.750	-3.778	-2.256	-15.951	-19.730
3133	50.793	-1.177	-0.995	-18.437	-19.614
14526	38.747	-3.196	-2.182	-16.163	-19.359
772	44.840	-3.607	-2.251	-15.746	-19.353
1272	44.687	-3.713	-2.252	-15.616	-19.329
6191	40.590	-3.719	-2.254	-15.482	-19.201
3616	50.327	-3.628	-2.248	-15.482	-19.110
6639	40.813	-3.794	-2.254	-15.281	-19.075
1655	49.800	-3.676	-2.251	-15.360	-19.036
10834	44.970	-3.706	-2.252	-15.177	-18.883
11969	44.860	-1.546	-1.069	-17.203	-18.749
1768	44.153	-3.625	-2.253	-15.080	-18.705
6493	54.630	-3.180	-2.226	-15.445	-18.625
3100	40.507	-3.754	-2.253	-14.819	-18.572
2361	44.353	-3.644	-2.251	-14.827	-18.471
4020	50.760	-3.517	-2.248	-14.887	-18.403
8998	44.780	-3.698	-2.254	-14.697	-18.395
7616	49.880	-3.762	-2.253	-14.600	-18.362
10320	49.830	-3.568	-2.250	-14.734	-18.302
10401	44.570	-3.587	-2.254	-14.651	-18.237
3736	50.770	-3.432	-2.249	-14.688	-18.120
4524	50.527	-3.505	-2.248	-14.598	-18.103
7168	50.590	-3.481	-2.248	-14.531	-18.011
9019	50.050	-3.580	-2.249	-14.351	-17.931
7651	38.420	-1.360	-0.720	-16.467	-17.827
11210	48.620	-3.551	-2.250	-14.229	-17.780
10140	44.880	-3.662	-2.252	-14.103	-17.765
11269	50.840	-3.434	-2.246	-14.318	-17.752
9523	44.060	-1.386	-0.712	-16.248	-17.634
4594	50.550	-1.214	-1.001	-16.415	-17.629
11491	44.530	-3.662	-2.254	-13.899	-17.561
11763	40.660	-3.667	-2.257	-13.882	-17.549
12292	43.670	-1.288	-0.681	-16.220	-17.509
8088	44.530	-3.511	-2.254	-13.892	-17.403
6707	50.327	-3.498	-2.247	-13.769	-17.267
1942	50.373	-3.437	-2.248	-13.783	-17.219
10143	50.500	-0.436	0.143	-16.731	-17.167
4115	49.270	-1.392	-1.073	-15.675	-17.066
4055	44.927	-1.246	-0.684	-15.797	-17.043
12236	50.433	-3.561	-2.249	-13.474	-17.035
12744	49.740	-3.707	-2.251	-13.131	-16.837
7173	44.770	-3.668	-2.254	-13.148	-16.816
1855	50.787	-3.480	-2.246	-13.332	-16.812
1829	44.640	-3.737	-2.254	-13.041	-16.778
11833	50.010	-1.217	-1.011	-15.554	-16.771
15238	40.493	-3.630	-2.255	-13.120	-16.750
14515	50.080	-1.400	-1.014	-15.284	-16.684
6785	44.440	-3.745	-2.253	-12.911	-16.656
3327	43.627	-1.369	-0.709	-15.252	-16.621
12482	50.773	-3.435	-2.247	-12.953	-16.388
6326	56.993	-0.322	0.220	-15.925	-16.247
13332	41.220	-3.786	-2.255	-12.456	-16.242
5543	44.553	-3.590	-2.253	-12.600	-16.190
13455	49.680	-1.560	-1.034	-14.566	-16.126
11838	43.940	-3.519	-2.253	-12.523	-16.042
13006	50.753	-3.514	-2.246	-12.521	-16.035
14587	41.410	-1.420	-1.062	-14.603	-16.023
11677	44.733	-3.669	-2.252	-12.292	-15.961
3243	50.607	-3.460	-2.247	-12.424	-15.884
4040	38.527	-3.067	-2.183	-12.793	-15.860
4204	50.320	-3.470	-2.245	-12.368	-15.838
3800	49.360	-3.811	-2.252	-11.965	-15.775
10571	31.587	-3.635	-2.212	-12.053	-15.688
465	38.953	-3.128	-2.183	-12.474	-15.602
4240	50.240	-0.521	0.198	-14.979	-15.500
1266	50.780	-3.562	-2.247	-11.932	-15.495
14318	48.920	-3.436	-2.247	-11.995	-15.431
1546	40.593	-3.651	-2.256	-11.771	-15.422
4956	50.760	-3.618	-2.247	-11.772	-15.389
